region,assessment,year,use_idcntry_raw_str,idcntry_raw,idcntry_raw_str,national_level,countrycode,notes
LAC,LLECE,1997,0,10,,1,ARG,
LAC,LLECE,1997,0,11,,1,BOL,
LAC,LLECE,1997,0,12,,1,BRA,
LAC,LLECE,1997,0,13,,1,CHL,
LAC,LLECE,1997,0,14,,1,COL,
LAC,LLECE,1997,0,15,,1,CRI,
LAC,LLECE,1997,0,16,,1,CUB,
LAC,LLECE,1997,0,24,,1,DOM,
LAC,LLECE,1997,0,20,,1,HND,
LAC,LLECE,1997,0,21,,1,MEX,"Mexico, country"
LAC,LLECE,1997,0,23,,1,PER,
LAC,LLECE,1997,0,22,,1,PRY,
LAC,LLECE,1997,0,25,,1,VEN,
LAC,LLECE,2006,0,11,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE,2006,0,1,,1,ARG,
LAC,LLECE,2006,0,3,,1,BRA,
LAC,LLECE,2006,0,7,,1,CHL,
LAC,LLECE,2006,0,4,,1,COL,
LAC,LLECE,2006,0,5,,1,CRI,
LAC,LLECE,2006,0,6,,1,CUB,
LAC,LLECE,2006,0,20,,1,DOM,
LAC,LLECE,2006,0,8,,1,ECU,
LAC,LLECE,2006,0,12,,1,GTM,
LAC,LLECE,2006,0,14,,1,MEX,
LAC,LLECE,2006,0,16,,1,NIC,
LAC,LLECE,2006,0,17,,1,PAN,
LAC,LLECE,2006,0,19,,1,PER,
LAC,LLECE,2006,0,18,,1,PRY,
LAC,LLECE,2006,0,9,,1,SLV,
LAC,LLECE,2006,0,21,,1,URY,
LAC,LLECE,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE,2013,0,32,,1,ARG,
LAC,LLECE,2013,0,76,,1,BRA,
LAC,LLECE,2013,0,152,,1,CHL,
LAC,LLECE,2013,0,170,,1,COL,
LAC,LLECE,2013,0,188,,1,CRI,
LAC,LLECE,2013,0,214,,1,DOM,
LAC,LLECE,2013,0,218,,1,ECU,
LAC,LLECE,2013,0,320,,1,GTM,
LAC,LLECE,2013,0,340,,1,HND,
LAC,LLECE,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE,2013,0,558,,1,NIC,
LAC,LLECE,2013,0,591,,1,PAN,
LAC,LLECE,2013,0,604,,1,PER,
LAC,LLECE,2013,0,600,,1,PRY,
LAC,LLECE,2013,0,858,,1,URY,
LAC,LLECE-T,2013,0,4841,,0,MEX,"Mexico, subset (Nueva Leon)"
LAC,LLECE-T,2013,0,32,,1,ARG,
LAC,LLECE-T,2013,0,76,,1,BRA,
LAC,LLECE-T,2013,0,152,,1,CHL,
LAC,LLECE-T,2013,0,170,,1,COL,
LAC,LLECE-T,2013,0,188,,1,CRI,
LAC,LLECE-T,2013,0,214,,1,DOM,
LAC,LLECE-T,2013,0,218,,1,ECU,
LAC,LLECE-T,2013,0,320,,1,GTM,
LAC,LLECE-T,2013,0,340,,1,HND,
LAC,LLECE-T,2013,0,484,,1,MEX,"Mexico, country"
LAC,LLECE-T,2013,0,558,,1,NIC,
LAC,LLECE-T,2013,0,591,,1,PAN,
LAC,LLECE-T,2013,0,604,,1,PER,
LAC,LLECE-T,2013,0,600,,1,PRY,
LAC,LLECE-T,2013,0,858,,1,URY,
WLD,PIRLS,2001,0,32,,1,ARG,
WLD,PIRLS,2001,0,100,,1,BGR,
